"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.597945835E-2,5.100296021E1,6.629455566E0,-4.785635376E1,7.025298731E1
2.593345835E-2,5.077140808E1,6.559356689E0,-4.778034973E1,7.002658680E1
3.588745836E-2,5.045014954E1,6.626068115E0,-4.791801453E1,6.989462414E1
4.584045836E-2,4.856315613E1,6.422546387E0,-4.921372986E1,6.943788909E1
5.579445825E-2,4.806716919E1,6.535766602E0,-4.957226562E1,6.935833417E1
6.574845826E-2,4.773654175E1,6.685760498E0,-4.977307129E1,6.928806129E1
7.570245827E-2,4.729873657E1,6.879882812E0,-4.980055237E1,6.902606960E1
8.565545827E-2,4.684008789E1,7.221923828E0,-4.992448425E1,6.883751990E1
9.560945828E-2,4.679872131E1,7.581451416E0,-5.001844788E1,6.891620891E1
1.055634583E-1,4.676222229E1,7.893615723E0,-4.976835632E1,6.874520997E1
1.155174583E-1,4.708755493E1,8.074157715E0,-4.992988586E1,6.910443802E1
1.254704583E-1,4.691957092E1,8.362670898E0,-4.891339111E1,6.829275386E1
1.354244583E-1,4.701206970E1,8.368865967E0,-4.866311646E1,6.817823346E1
1.453784583E-1,4.703146362E1,7.861236572E0,-4.832386780E1,6.788927610E1
1.553324583E-1,4.714208984E1,7.475585938E0,-4.763426208E1,6.743355207E1
1.652854583E-1,4.692254639E1,7.125305176E0,-4.651235962E1,6.645220034E1
1.752394583E-1,4.689355469E1,6.710632324E0,-4.634709167E1,6.627285239E1
1.851934583E-1,4.710115051E1,6.275939941E0,-4.558857727E1,6.585001275E1
1.951464583E-1,4.714678955E1,5.984252930E0,-4.443904114E1,6.506503996E1
2.051004583E-1,4.744909668E1,5.807159424E0,-4.348695374E1,6.462395083E1
2.150544584E-1,4.813990784E1,5.659973145E0,-4.255909729E1,6.450397495E1
2.250084584E-1,5.187483215E1,5.562927246E0,-4.118293762E1,6.646787737E1
2.349614584E-1,5.267686462E1,5.668975830E0,-4.053472900E1,6.670872214E1
2.449154583E-1,5.338394165E1,5.628845215E0,-4.002812195E1,6.696103099E1
2.548694583E-1,5.416708374E1,5.642272949E0,-4.004353333E1,6.759728372E1
2.648234583E-1,5.399649048E1,5.898956299E0,-4.289898682E1,6.921518431E1
2.747764583E-1,5.436183167E1,5.940582275E0,-4.319523621E1,6.968735675E1
2.847304583E-1,5.468524170E1,5.991333008E0,-4.339579773E1,7.006830233E1
2.946844583E-1,5.456111145E1,6.077606201E0,-4.381031799E1,7.023671506E1
3.046384583E-1,5.450436401E1,5.709625244E0,-4.361665344E1,7.004097354E1
3.145914583E-1,5.449101257E1,5.704376221E0,-4.413688660E1,7.035534889E1
3.245454583E-1,5.409225464E1,5.702301025E0,-4.423391724E1,7.010797161E1
3.344994583E-1,5.356288147E1,5.730041504E0,-4.431680298E1,6.975524836E1
3.444524583E-1,5.325071716E1,5.727111816E0,-4.469665527E1,6.975836639E1
3.544064583E-1,5.293901062E1,5.921203613E0,-4.534605408E1,6.995615854E1
3.643604583E-1,5.268080139E1,6.232910156E0,-4.554263306E1,6.991600267E1
3.743144583E-1,5.276464844E1,6.447570801E0,-4.631933594E1,7.050645485E1
3.842674583E-1,5.249189758E1,6.789947510E0,-4.680438232E1,7.065516898E1
3.942214584E-1,5.250123596E1,7.165710449E0,-4.730136108E1,7.102919079E1
4.041754584E-1,5.378123474E1,7.738739014E0,-4.781677246E1,7.237923059E1
4.141294584E-1,5.377734375E1,8.024078369E0,-4.819332886E1,7.265662723E1
4.240824584E-1,5.391497803E1,8.208099365E0,-4.845423889E1,7.295211455E1
4.340364583E-1,5.409703064E1,8.306091309E0,-4.893328857E1,7.341625574E1
4.439951667E-1,5.402130127E1,8.288024902E0,-4.929132080E1,7.359773539E1
4.539481667E-1,5.394931030E1,8.205780029E0,-4.932725525E1,7.355977854E1
4.639021667E-1,5.388449097E1,8.269683838E0,-4.660055542E1,7.171846208E1
4.738561667E-1,5.386190796E1,8.073547363E0,-4.638746643E1,7.154078793E1
4.838101666E-1,5.404408264E1,7.892333984E0,-4.625988770E1,7.157533803E1
4.937631666E-1,5.384074402E1,7.812347412E0,-4.625813293E1,7.141199725E1
5.037171666E-1,5.372972107E1,7.702239990E0,-4.600439453E1,7.115203260E1
5.136711666E-1,5.384100342E1,7.540283203E0,-4.621571350E1,7.135546016E1
5.236251666E-1,5.361512756E1,7.442169189E0,-4.627046204E1,7.121041667E1
5.335781666E-1,5.345834351E1,7.530792236E0,-4.639418030E1,7.118235236E1
5.435321666E-1,5.349102783E1,7.260955811E0,-4.646813965E1,7.122709836E1
5.534861666E-1,5.333766174E1,7.349395752E0,-4.656098938E1,7.118177794E1
5.634401666E-1,5.316201782E1,7.267242432E0,-4.651467896E1,7.101146604E1
5.733931666E-1,5.310682678E1,6.950042725E0,-4.663812256E1,7.101938201E1
5.833471667E-1,5.280169678E1,7.033294678E0,-4.656561279E1,7.075198026E1
5.933011667E-1,5.260336304E1,6.951141357E0,-4.644331360E1,7.051534264E1
6.032541667E-1,5.264338684E1,6.684997559E0,-4.683241272E1,7.077633963E1
6.132081667E-1,5.253543091E1,6.744934082E0,-4.662330627E1,7.056343476E1
6.231621667E-1,5.232012939E1,6.748016357E0,-4.642581177E1,7.027295115E1
6.331161667E-1,5.243171692E1,6.468322754E0,-4.644328308E1,7.034132983E1
6.430691667E-1,5.227713013E1,6.516571045E0,-4.662547302E1,7.035125278E1
6.530231667E-1,5.222058105E1,6.495239258E0,-4.647825623E1,7.020972526E1
6.629771666E-1,5.190782166E1,6.441741943E0,-4.653924561E1,7.001299429E1
6.729311666E-1,5.183416748E1,6.373870850E0,-4.647406006E1,6.990883640E1
6.828841666E-1,5.157670593E1,6.034912109E0,-4.677323914E1,6.988785773E1
6.928381666E-1,5.147045898E1,6.017944336E0,-4.706951904E1,7.000688127E1
7.027921666E-1,5.143722534E1,5.929443359E0,-4.687138367E1,6.984177157E1
7.127451666E-1,5.147491455E1,5.781372070E0,-4.687037659E1,6.985644775E1
7.226991666E-1,5.119007874E1,5.866088867E0,-4.695014954E1,6.970761580E1
7.326531666E-1,5.113580322E1,5.965850830E0,-4.688970947E1,6.963552687E1
7.426071666E-1,5.097610474E1,5.706542969E0,-4.702160645E1,6.958562610E1
7.525601666E-1,5.083988953E1,5.917236328E0,-4.734843445E1,6.972504785E1
7.625141667E-1,5.062120056E1,5.871002197E0,-4.719703674E1,6.945887193E1
7.724681667E-1,5.083700562E1,5.837585449E0,-4.717897034E1,6.960124845E1
7.824221667E-1,5.075119019E1,6.055236816E0,-4.727491760E1,6.962231706E1
7.923751667E-1,5.070855713E1,6.000427246E0,-4.708833313E1,6.945987338E1
8.023291667E-1,5.069076538E1,5.910400391E0,-4.730145264E1,6.958386271E1
8.122831667E-1,5.069786072E1,6.053588867E0,-4.759350586E1,6.980014914E1
8.222371667E-1,5.069990540E1,6.136322021E0,-4.772038269E1,6.989542030E1
8.321901667E-1,5.066305542E1,5.908843994E0,-4.775704956E1,6.987413974E1
8.421441667E-1,5.025190735E1,5.997467041E0,-4.755116272E1,6.944304774E1
8.520981666E-1,5.027551270E1,6.042541504E0,-4.754319763E1,6.945858569E1
8.620521666E-1,5.025811768E1,5.889068604E0,-4.776005554E1,6.958148049E1
8.720051666E-1,5.022377014E1,5.951995850E0,-4.765505981E1,6.948998538E1
8.819591666E-1,5.002481079E1,5.790344238E0,-4.759375000E1,6.929051032E1
8.919131666E-1,5.017358398E1,5.765106201E0,-4.770684814E1,6.947350818E1
9.018661666E-1,5.024839783E1,5.760894775E0,-4.759271240E1,6.944894288E1
9.118201666E-1,5.019947815E1,5.800201416E0,-4.738261414E1,6.927295335E1
9.217741666E-1,5.034342957E1,5.832916260E0,-4.741648865E1,6.940322189E1
9.317281666E-1,5.038973999E1,5.690887451E0,-4.732725525E1,6.936412030E1
9.416811666E-1,5.051087952E1,5.723815918E0,-4.738484192E1,6.949413113E1
9.516351667E-1,5.054479980E1,5.701446533E0,-4.734336853E1,6.948868846E1
9.615891667E-1,5.063456726E1,5.666473389E0,-4.709204102E1,6.938031889E1
9.715431667E-1,5.085665894E1,5.750091553E0,-4.701889038E1,6.949992348E1
9.814961667E-1,5.079595947E1,5.923706055E0,-4.704101562E1,6.948508432E1
9.914501667E-1,5.094808960E1,5.823059082E0,-4.723057556E1,6.971616110E1
1.001404167E0,5.120423889E1,5.705383301E0,-4.691760254E1,6.968275904E1
1.011358167E0,5.120983887E1,5.686737061E0,-4.672717285E1,6.955728041E1
1.021311167E0,5.148342896E1,5.548767090E0,-4.680337524E1,6.979891265E1
1.031265167E0,5.149621582E1,5.606109619E0,-4.699501038E1,6.994154494E1
1.041219167E0,5.158166504E1,5.618316650E0,-4.669841003E1,6.980669846E1
1.051173167E0,5.208317566E1,5.637451172E0,-4.677137756E1,7.022819805E1
1.061126167E0,5.194645691E1,5.780761719E0,-4.668051147E1,7.007796903E1
1.071080167E0,5.206158447E1,5.948120117E0,-4.679844666E1,7.025584189E1
1.081034167E0,5.233255005E1,5.818511963E0,-4.707373047E1,7.062922183E1
1.090987167E0,5.221199036E1,5.948822021E0,-4.706411743E1,7.054439432E1
1.100941167E0,5.220173645E1,5.894104004E0,-4.682608032E1,7.037359980E1
1.110895167E0,5.234387207E1,5.678405762E0,-4.685206604E1,7.047865867E1
1.120849167E0,5.228598022E1,5.673339844E0,-4.671876526E1,7.034666687E1
1.130802167E0,5.239529419E1,5.601074219E0,-4.636195374E1,7.018596469E1
1.140756167E0,5.264680481E1,5.389617920E0,-4.648696899E1,7.043984898E1
1.150710167E0,5.277577209E1,5.352752686E0,-4.659074402E1,7.060192285E1
1.160664167E0,5.279646301E1,5.404663086E0,-4.633352661E1,7.045191678E1
1.170617167E0,5.268571472E1,5.279785156E0,-4.627209473E1,7.031904022E1
1.180571167E0,5.286187744E1,5.022827148E0,-4.639755249E1,7.051481941E1
1.190525167E0,5.298452759E1,5.068725586E0,-4.607296753E1,7.039723347E1
1.200479167E0,5.283572388E1,5.109741211E0,-4.631404114E1,7.044652993E1
1.210432167E0,5.289396667E1,4.860473633E0,-4.617716980E1,7.038271752E1
1.220386167E0,5.292607117E1,4.857452393E0,-4.613349915E1,7.037800506E1
1.230340167E0,5.286634827E1,4.939300537E0,-4.651652527E1,7.059061263E1
1.240293167E0,5.287043762E1,4.969268799E0,-4.647174072E1,7.056627730E1
1.250247167E0,5.285273743E1,4.806915283E0,-4.625474548E1,7.039900403E1
1.260201167E0,5.281053162E1,5.016082764E0,-4.640315247E1,7.047954238E1
1.270155167E0,5.296389771E1,5.018493652E0,-4.621711731E1,7.047255970E1
1.280108167E0,5.295072937E1,5.032653809E0,-4.644035339E1,7.061029506E1
1.290062167E0,5.281071472E1,5.277221680E0,-4.663290405E1,7.065018329E1
1.300016167E0,5.251138306E1,5.245300293E0,-4.644880676E1,7.030256166E1
1.309970167E0,5.269421387E1,5.161468506E0,-4.669395447E1,7.059494540E1
1.319923167E0,5.265818787E1,5.285491943E0,-4.687446594E1,7.069679435E1
1.329877167E0,5.252906799E1,5.269073486E0,-4.682524109E1,7.056677209E1
1.339831167E0,5.244647217E1,5.080200195E0,-4.693693542E1,7.056569127E1
1.349785167E0,5.227368164E1,5.123748779E0,-4.711767578E1,7.056107967E1
1.359738167E0,5.214530945E1,5.155975342E0,-4.708175659E1,7.044436942E1
1.369692167E0,5.222541809E1,5.069946289E0,-4.735333252E1,7.067911114E1
1.379646167E0,5.229246521E1,4.870574951E0,-4.674740601E1,7.031034338E1
1.389599167E0,5.211346436E1,5.179290771E0,-4.701620483E1,7.037870230E1
1.399553167E0,5.207627869E1,5.228729248E0,-4.715779114E1,7.044952574E1
1.409507167E0,5.209349060E1,5.263977051E0,-4.726333618E1,7.053555248E1
1.419461167E0,5.213734436E1,5.221740723E0,-4.713980103E1,7.048212606E1
